sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
5,2,957,0.1002,0.051,0.0492,26.5,7.2,9.9,19.3,16.6
9,1,1390,0.224,0.151,0.073,37.2,20.1,20.6,17.1,16.6
12,3,113,0.367,0.288,0.079,22.9,-7.1,6.3,30,16.6
12,3,126,0.349,0.306,0.043,25.5,-4.6,8.9,30.1,16.6
2,2,338,0.187,0.09,0.097,26.3,2.3,9.6,24,16.7
9,1,1356,0.516,0.447,0.069,33.4,18.2,16.7,15.2,16.7
2,3,379,0.246,0.179,0.067,29.6,4.2,12.8,25.4,16.8
7,3,1189,0.174,0.149,0.025,35,10.8,18.2,24.2,16.8
6,3,51,0.066,0.043,0.023,32.3,12.3,15.5,20,16.8
1,3,194,0.1483,0.1093,0.039,29.6,-2,12.7,31.6,16.9
1,3,195,0.1498,0.1032,0.0466,28.3,-4.7,11.4,33,16.9
1,3,218,0.1052,0.0787,0.0265,32.7,7.8,15.8,24.9,16.9
3,3,545,0.309,0.268,0.041,42.2,6.8,25.3,35.4,16.9
7,3,1176,0.187,0.166,0.021,33.2,14.5,16.3,18.7,16.9
10,2,1542,0.32,0.235,0.085,26.8,10.4,9.9,16.4,16.9
2,1,250,0.541,0.41,0.131,21.8,4.1,4.8,17.7,17
5,2,943,0.158,0.0783,0.0797,26,5.5,9,20.5,17
7,1,1068,0.454,0.397,0.057,27.3,3.6,10.3,23.7,17
9,3,1441,0.465,0.376,0.089,38.9,9.9,21.9,29,17
9,3,1443,0.455,0.384,0.071,38.7,11.8,21.7,26.9,17
9,3,1461,0.136,0.092,0.044,41.9,13.2,24.9,28.7,17
9,3,1469,0.122,0.087,0.035,39.1,12.3,22.1,26.8,17
11,2,61,0.529,0.449,0.08,31.7,14,14.7,17.7,17
11,3,108,0.454,0.372,0.082,34.8,7.2,17.8,27.6,17
1,2,94,0.3679,0.2532,0.1147,24.9,-4.1,7.8,29,17.1
1,2,103,0.1791,0.1305,0.0486,29.4,15,12.3,14.4,17.1
1,3,170,0.1864,0.1553,0.0311,30.4,-2.8,13.3,33.2,17.1
2,1,246,0.545,0.404,0.141,25.5,1.5,8.4,24,17.1
